,FIPS Code,adult_fullvax_pct
120,53045,0.397
121,56031,0.311
122,54075,0.238
123,54109,0.364
124,56013,0.461
125,54101,0.292
126,2090,0.387
127,1007,0.194
128,5001,0.401
129,51143,0.179
130,5003,0.328
131,5025,0.369
132,5005,0.333
133,2110,0.636
134,4001,0.624
135,5039,0.407
136,1105,0.345
137,5049,0.226
138,1123,0.277
139,2050,0.645
140,1019,0.224
141,1043,0.278
142,1055,0.256
143,1093,0.243
144,5047,0.342
145,5033,0.273
146,2240,0.265
147,1049,0.202
148,2170,0.308
149,4012,0.365
150,4007,0.479
151,1071,0.307
152,1047,0.285
153,1009,0.184
154,1057,0.244
155,1037,0.277
156,1041,0.251
157,2188,0.542
158,1129,0.285
159,1083,0.253
160,2195,0.681
161,2220,0.67
162,2290,0.674
163,4023,0.698
164,5013,0.242
165,1109,0.266
166,1005,0.232
167,1013,0.27
168,5051,0.315
169,1069,0.297
170,1021,0.19
171,2150,0.564
172,2198,0.439
173,1031,0.241
174,1121,0.234
175,2164,0.554
176,4011,0.388
177,1045,0.364
178,1113,0.243
179,1059,0.318
180,4003,0.405
181,1033,0.342
182,1003,0.299
183,4027,0.449
184,5045,0.347
185,1063,0.331
186,5035,0.266
187,1127,0.318
188,5055,0.306
189,1125,0.273
190,2185,0.328
191,2180,0.713
192,1085,0.302
193,1131,0.359
194,2060,0.633
195,5059,0.287
196,2282,0.713
197,1025,0.327
198,4017,0.492
199,1103,0.302
200,1015,0.294
201,5053,0.301
202,1029,0.224
203,5023,0.304
204,5063,0.247
205,1097,0.314
206,5021,0.347
207,1075,0.319
208,1099,0.275
209,2068,0.432
210,2020,0.508
211,1101,0.341
212,1051,0.27
213,4005,0.56
214,5071,0.327
215,4025,0.337
216,5057,0.174
217,2230,0.668
218,1089,0.392
219,2122,0.399
220,2105,0.622
221,5067,0.274
222,1073,0.393
223,1023,0.378
224,5031,0.298
225,5073,0.247
226,2261,
227,1077,0.333
228,5037,0.348
229,2016,0.32
230,1115,0.24
231,1091,0.367
