,GeoFIPS,LineCode,Description,Unit,2016,2017,2018,2019
125, 01079,3.0,Per capita personal income (dollars) 2/,Dollars,31424,32819,34084,35039
126, 01081,1.0,Personal income (thousands of dollars),Thousands of dollars,5720244,5948184,6280809,6545660
127, 01081,2.0,Population (persons) 1/,Number of persons,159168,161440,163656,164542
128, 01081,3.0,Per capita personal income (dollars) 2/,Dollars,35938,36845,38378,39781
129, 01083,1.0,Personal income (thousands of dollars),Thousands of dollars,3643103,3877373,4163133,4445880
130, 01083,2.0,Population (persons) 1/,Number of persons,92847,94130,96177,98915
131, 01083,3.0,Per capita personal income (dollars) 2/,Dollars,39238,41192,43286,44946
132, 01085,1.0,Personal income (thousands of dollars),Thousands of dollars,378368,394013,396923,396674
133, 01085,2.0,Population (persons) 1/,Number of persons,10248,10097,9974,9726
134, 01085,3.0,Per capita personal income (dollars) 2/,Dollars,36921,39023,39796,40785
135, 01087,1.0,Personal income (thousands of dollars),Thousands of dollars,588868,598021,610744,630590
136, 01087,2.0,Population (persons) 1/,Number of persons,19060,18793,18321,18068
137, 01087,3.0,Per capita personal income (dollars) 2/,Dollars,30895,31821,33336,34901
138, 01089,1.0,Personal income (thousands of dollars),Thousands of dollars,17205641,17983414,19088069,20140928
139, 01089,2.0,Population (persons) 1/,Number of persons,356729,361762,367004,372909
140, 01089,3.0,Per capita personal income (dollars) 2/,Dollars,48232,49711,52011,54010
141, 01091,1.0,Personal income (thousands of dollars),Thousands of dollars,718549,730597,766229,784073
142, 01091,2.0,Population (persons) 1/,Number of persons,19525,19396,19056,18863
143, 01091,3.0,Per capita personal income (dollars) 2/,Dollars,36801,37667,40209,41567
144, 01093,1.0,Personal income (thousands of dollars),Thousands of dollars,918153,956008,987373,1010119
145, 01093,2.0,Population (persons) 1/,Number of persons,29960,29792,29750,29709
146, 01093,3.0,Per capita personal income (dollars) 2/,Dollars,30646,32089,33189,34000
147, 01095,1.0,Personal income (thousands of dollars),Thousands of dollars,3228933,3345325,3485514,3614037
148, 01095,2.0,Population (persons) 1/,Number of persons,95113,95572,96170,96774
149, 01095,3.0,Per capita personal income (dollars) 2/,Dollars,33948,35003,36243,37345
150, 01097,1.0,Personal income (thousands of dollars),Thousands of dollars,15100452,15481180,16056031,16574614
151, 01097,2.0,Population (persons) 1/,Number of persons,414945,414045,413908,413210
152, 01097,3.0,Per capita personal income (dollars) 2/,Dollars,36391,37390,38791,40112
153, 01099,1.0,Personal income (thousands of dollars),Thousands of dollars,689813,697879,707584,729266
154, 01099,2.0,Population (persons) 1/,Number of persons,21548,21290,21062,20733
155, 01099,3.0,Per capita personal income (dollars) 2/,Dollars,32013,32780,33595,35174
156, 01101,1.0,Personal income (thousands of dollars),Thousands of dollars,9462222,9711528,9959136,10300413
157, 01101,2.0,Population (persons) 1/,Number of persons,227170,227265,226504,226486
158, 01101,3.0,Per capita personal income (dollars) 2/,Dollars,41653,42732,43969,45479
159, 01103,1.0,Personal income (thousands of dollars),Thousands of dollars,4445447,4593883,4794738,4995546
160, 01103,2.0,Population (persons) 1/,Number of persons,119006,118918,119203,119679
161, 01103,3.0,Per capita personal income (dollars) 2/,Dollars,37355,38631,40223,41741
162, 01105,1.0,Personal income (thousands of dollars),Thousands of dollars,285230,294600,288618,299181
163, 01105,2.0,Population (persons) 1/,Number of persons,9532,9302,9070,8923
164, 01105,3.0,Per capita personal income (dollars) 2/,Dollars,29923,31671,31821,33529
165, 01107,1.0,Personal income (thousands of dollars),Thousands of dollars,634365,649430,661084,675430
166, 01107,2.0,Population (persons) 1/,Number of persons,20325,20204,19980,19930
167, 01107,3.0,Per capita personal income (dollars) 2/,Dollars,31211,32144,33087,33890
168, 01109,1.0,Personal income (thousands of dollars),Thousands of dollars,1174493,1215417,1248010,1273991
169, 01109,2.0,Population (persons) 1/,Number of persons,33464,33349,33242,33114
170, 01109,3.0,Per capita personal income (dollars) 2/,Dollars,35097,36445,37543,38473
171, 01111,1.0,Personal income (thousands of dollars),Thousands of dollars,702715,736886,760016,768092
172, 01111,2.0,Population (persons) 1/,Number of persons,22504,22687,22727,22722
173, 01111,3.0,Per capita personal income (dollars) 2/,Dollars,31226,32481,33441,33804
174, 01113,1.0,Personal income (thousands of dollars),Thousands of dollars,1792611,1856119,1886926,1969855
175, 01113,2.0,Population (persons) 1/,Number of persons,58185,56985,57784,57961
176, 01113,3.0,Per capita personal income (dollars) 2/,Dollars,30809,32572,32655,33986
177, 01115,1.0,Personal income (thousands of dollars),Thousands of dollars,3138722,3289541,3486685,3649039
178, 01115,2.0,Population (persons) 1/,Number of persons,87306,87926,88654,89512
179, 01115,3.0,Per capita personal income (dollars) 2/,Dollars,35951,37413,39329,40766
180, 01117,1.0,Personal income (thousands of dollars),Thousands of dollars,10749837,11206002,11849115,12371941
181, 01117,2.0,Population (persons) 1/,Number of persons,211282,213633,215583,217702
182, 01117,3.0,Per capita personal income (dollars) 2/,Dollars,50879,52454,54963,56830
183, 01119,1.0,Personal income (thousands of dollars),Thousands of dollars,397324,398131,400233,410208
184, 01119,2.0,Population (persons) 1/,Number of persons,12967,12749,12634,12427
185, 01119,3.0,Per capita personal income (dollars) 2/,Dollars,30641,31228,31679,33009
186, 01121,1.0,Personal income (thousands of dollars),Thousands of dollars,2634680,2694655,2781484,2889208
187, 01121,2.0,Population (persons) 1/,Number of persons,80552,80142,80137,79978
188, 01121,3.0,Per capita personal income (dollars) 2/,Dollars,32708,33624,34709,36125
189, 01123,1.0,Personal income (thousands of dollars),Thousands of dollars,1565807,1601767,1660176,1715941
190, 01123,2.0,Population (persons) 1/,Number of persons,40586,40613,40535,40367
191, 01123,3.0,Per capita personal income (dollars) 2/,Dollars,38580,39440,40957,42509
192, 01125,1.0,Personal income (thousands of dollars),Thousands of dollars,7539351,7852975,8194080,8509809
193, 01125,2.0,Population (persons) 1/,Number of persons,206464,207618,208319,209355
194, 01125,3.0,Per capita personal income (dollars) 2/,Dollars,36517,37824,39334,40648
195, 01127,1.0,Personal income (thousands of dollars),Thousands of dollars,2417253,2512197,2619627,2698204
196, 01127,2.0,Population (persons) 1/,Number of persons,64533,63895,63669,63521
197, 01127,3.0,Per capita personal income (dollars) 2/,Dollars,37458,39318,41144,42477
198, 01129,1.0,Personal income (thousands of dollars),Thousands of dollars,578366,587225,600979,617724
199, 01129,2.0,Population (persons) 1/,Number of persons,16621,16522,16402,16326
200, 01129,3.0,Per capita personal income (dollars) 2/,Dollars,34797,35542,36641,37837
201, 01131,1.0,Personal income (thousands of dollars),Thousands of dollars,337020,344117,354075,362050
202, 01131,2.0,Population (persons) 1/,Number of persons,10844,10691,10599,10373
203, 01131,3.0,Per capita personal income (dollars) 2/,Dollars,31079,32188,33406,34903
204, 01133,1.0,Personal income (thousands of dollars),Thousands of dollars,764076,797979,817764,845340
205, 01133,2.0,Population (persons) 1/,Number of persons,23907,23760,23693,23629
206, 01133,3.0,Per capita personal income (dollars) 2/,Dollars,31960,33585,34515,35776
207, 02000,1.0,Personal income (thousands of dollars),Thousands of dollars,41745626,42454376,44369579,45945102
208, 02000,2.0,Population (persons) 1/,Number of persons,741456,739700,735139,731545
209, 02000,3.0,Per capita personal income (dollars) 2/,Dollars,56302,57394,60355,62806
210, 02010,1.0,Personal income (thousands of dollars),Thousands of dollars,(NA),(NA),(NA),(NA)
211, 02010,2.0,Population (persons) 1/,Number of persons,(NA),(NA),(NA),(NA)
212, 02010,3.0,Per capita personal income (dollars) 2/,Dollars,(NA),(NA),(NA),(NA)
213, 02013,1.0,Personal income (thousands of dollars),Thousands of dollars,194476,202467,193686,208687
214, 02013,2.0,Population (persons) 1/,Number of persons,3363,3455,3395,3337
215, 02013,3.0,Per capita personal income (dollars) 2/,Dollars,57828,58601,57050,62537
216, 02016,1.0,Personal income (thousands of dollars),Thousands of dollars,318028,304928,317467,326816
217, 02016,2.0,Population (persons) 1/,Number of persons,5705,5729,5640,5634
218, 02016,3.0,Per capita personal income (dollars) 2/,Dollars,55745,53225,56288,58008
219, 02020,1.0,Personal income (thousands of dollars),Thousands of dollars,18556144,18779233,19546730,20201781
220, 02020,2.0,Population (persons) 1/,Number of persons,297249,294338,290521,288000
221, 02020,3.0,Per capita personal income (dollars) 2/,Dollars,62426,63802,67282,70145
222, 02050,1.0,Personal income (thousands of dollars),Thousands of dollars,747769,770128,824255,852161
223, 02050,2.0,Population (persons) 1/,Number of persons,18022,18090,18219,18386
224, 02050,3.0,Per capita personal income (dollars) 2/,Dollars,41492,42572,45242,46348
225, 02060,1.0,Personal income (thousands of dollars),Thousands of dollars,108505,109746,125503,126988
226, 02060,2.0,Population (persons) 1/,Number of persons,902,869,880,836
227, 02060,3.0,Per capita personal income (dollars) 2/,Dollars,120294,126290,142617,151900
228, 02068,1.0,Personal income (thousands of dollars),Thousands of dollars,155498,163376,171933,176497
229, 02068,2.0,Population (persons) 1/,Number of persons,2055,2084,2032,2097
230, 02068,3.0,Per capita personal income (dollars) 2/,Dollars,75668,78395,84613,84166
231, 02070,1.0,Personal income (thousands of dollars),Thousands of dollars,276482,287408,298998,304407
232, 02070,2.0,Population (persons) 1/,Number of persons,4970,4940,4991,4916
233, 02070,3.0,Per capita personal income (dollars) 2/,Dollars,55630,58180,59907,61922
234, 02090,1.0,Personal income (thousands of dollars),Thousands of dollars,5338649,5443462,5689172,5806852
235, 02090,2.0,Population (persons) 1/,Number of persons,100633,99675,98565,96849
236, 02090,3.0,Per capita personal income (dollars) 2/,Dollars,53051,54612,57720,59958
237, 02100,1.0,Personal income (thousands of dollars),Thousands of dollars,145768,158954,177731,181429
238, 02100,2.0,Population (persons) 1/,Number of persons,2531,2524,2488,2530
239, 02100,3.0,Per capita personal income (dollars) 2/,Dollars,57593,62977,71435,71711
240, 02105,1.0,Personal income (thousands of dollars),Thousands of dollars,117450,128206,133993,139416
241, 02105,2.0,Population (persons) 1/,Number of persons,2121,2139,2155,2148
242, 02105,3.0,Per capita personal income (dollars) 2/,Dollars,55375,59937,62178,64905
243, 02110,1.0,Personal income (thousands of dollars),Thousands of dollars,2100408,2155516,2278715,2344824
244, 02110,2.0,Population (persons) 1/,Number of persons,32412,32098,32037,31974
245, 02110,3.0,Per capita personal income (dollars) 2/,Dollars,64803,67154,71128,73335
246, 02122,1.0,Personal income (thousands of dollars),Thousands of dollars,2907542,2936666,3079281,3221300
247, 02122,2.0,Population (persons) 1/,Number of persons,58458,58558,58561,58708
248, 02122,3.0,Per capita personal income (dollars) 2/,Dollars,49737,50150,52582,54870
249, 02130,1.0,Personal income (thousands of dollars),Thousands of dollars,886983,915117,955248,986762
250, 02130,2.0,Population (persons) 1/,Number of persons,13707,13834,13856,13901
251, 02130,3.0,Per capita personal income (dollars) 2/,Dollars,64710,66150,68941,70985
252, 02150,1.0,Personal income (thousands of dollars),Thousands of dollars,794531,826222,831689,862827
253, 02150,2.0,Population (persons) 1/,Number of persons,13728,13512,13250,12998
254, 02150,3.0,Per capita personal income (dollars) 2/,Dollars,57877,61147,62769,66382
255, 02158,1.0,Personal income (thousands of dollars),Thousands of dollars,246534,246006,255181,265586
256, 02158,2.0,Population (persons) 1/,Number of persons,8181,8236,8323,8314
257, 02158,3.0,Per capita personal income (dollars) 2/,Dollars,30135,29870,30660,31944
258, 02164,1.0,Personal income (thousands of dollars),Thousands of dollars,87361,98887,106918,104910
259, 02164,2.0,Population (persons) 1/,Number of persons,1600,1612,1596,1592
260, 02164,3.0,Per capita personal income (dollars) 2/,Dollars,54601,61344,66991,65898
261, 02170,1.0,Personal income (thousands of dollars),Thousands of dollars,4665786,4746844,5037189,5301382
262, 02170,2.0,Population (persons) 1/,Number of persons,104119,106232,107115,108317
263, 02170,3.0,Per capita personal income (dollars) 2/,Dollars,44812,44684,47026,48943
264, 02180,1.0,Personal income (thousands of dollars),Thousands of dollars,481416,498247,521404,542933
265, 02180,2.0,Population (persons) 1/,Number of persons,9966,10025,10053,10004
266, 02180,3.0,Per capita personal income (dollars) 2/,Dollars,48306,49700,51866,54272
267, 02185,1.0,Personal income (thousands of dollars),Thousands of dollars,868328,831517,824680,883532
268, 02185,2.0,Population (persons) 1/,Number of persons,9694,9795,9850,9832
269, 02185,3.0,Per capita personal income (dollars) 2/,Dollars,89574,84892,83724,89863
270, 02188,1.0,Personal income (thousands of dollars),Thousands of dollars,338736,350062,380448,392680
271, 02188,2.0,Population (persons) 1/,Number of persons,7691,7795,7694,7621
272, 02188,3.0,Per capita personal income (dollars) 2/,Dollars,44043,44909,49447,51526
273, 02195,1.0,Personal income (thousands of dollars),Thousands of dollars,209769,217077,231980,241753
274, 02195,2.0,Population (persons) 1/,Number of persons,3260,3264,3244,3266
