,GeoFIPS,LineCode,Description,Unit,2016,2017,2018,2019
3703, 23027,2.0,Population (persons) 1/,Number of persons,39429,39772,39657,39715
3704, 23027,3.0,Per capita personal income (dollars) 2/,Dollars,37554,38841,41427,43793
3705, 23029,1.0,Personal income (thousands of dollars),Thousands of dollars,1200462,1209488,1248278,1289495
3706, 23029,2.0,Population (persons) 1/,Number of persons,31603,31374,31321,31379
3707, 23029,3.0,Per capita personal income (dollars) 2/,Dollars,37986,38551,39854,41094
3708, 23031,1.0,Personal income (thousands of dollars),Thousands of dollars,9667383,10147060,10743560,11259400
3709, 23031,2.0,Population (persons) 1/,Number of persons,202565,204282,205869,207641
3710, 23031,3.0,Per capita personal income (dollars) 2/,Dollars,47725,49672,52186,54225
3711, 24000,1.0,Personal income (thousands of dollars),Thousands of dollars,354260559,365997521,378491502,390792492
3712, 24000,2.0,Population (persons) 1/,Number of persons,6003323,6023868,6035802,6045680
3713, 24000,3.0,Per capita personal income (dollars) 2/,Dollars,59011,60758,62708,64640
3714, 24001,1.0,Personal income (thousands of dollars),Thousands of dollars,2746585,2781988,2836602,2919020
3715, 24001,2.0,Population (persons) 1/,Number of persons,72053,71352,70941,70416
3716, 24001,3.0,Per capita personal income (dollars) 2/,Dollars,38119,38990,39985,41454
3717, 24003,1.0,Personal income (thousands of dollars),Thousands of dollars,35658932,36978814,38605051,39987570
3718, 24003,2.0,Population (persons) 1/,Number of persons,567254,571339,575523,579234
3719, 24003,3.0,Per capita personal income (dollars) 2/,Dollars,62862,64723,67078,69035
3720, 24005,1.0,Personal income (thousands of dollars),Thousands of dollars,47372042,48796244,50614690,52104719
3721, 24005,2.0,Population (persons) 1/,Number of persons,828682,828645,827859,827370
3722, 24005,3.0,Per capita personal income (dollars) 2/,Dollars,57166,58887,61139,62976
3723, 24009,1.0,Personal income (thousands of dollars),Thousands of dollars,5302953,5492210,5703309,5919336
3724, 24009,2.0,Population (persons) 1/,Number of persons,91052,91435,92065,92525
3725, 24009,3.0,Per capita personal income (dollars) 2/,Dollars,58241,60067,61949,63976
3726, 24011,1.0,Personal income (thousands of dollars),Thousands of dollars,1401720,1482419,1521645,1566161
3727, 24011,2.0,Population (persons) 1/,Number of persons,32840,33096,33306,33406
3728, 24011,3.0,Per capita personal income (dollars) 2/,Dollars,42683,44791,45687,46883
3729, 24013,1.0,Personal income (thousands of dollars),Thousands of dollars,9796837,10151134,10466136,10829120
3730, 24013,2.0,Population (persons) 1/,Number of persons,167100,167547,168267,168447
3731, 24013,3.0,Per capita personal income (dollars) 2/,Dollars,58629,60587,62200,64288
3732, 24015,1.0,Personal income (thousands of dollars),Thousands of dollars,4565285,4705576,4905949,5116896
3733, 24015,2.0,Population (persons) 1/,Number of persons,102487,102394,102644,102855
3734, 24015,3.0,Per capita personal income (dollars) 2/,Dollars,44545,45956,47796,49749
3735, 24017,1.0,Personal income (thousands of dollars),Thousands of dollars,8449879,8758981,9061892,9432032
3736, 24017,2.0,Population (persons) 1/,Number of persons,157292,159450,161476,163257
3737, 24017,3.0,Per capita personal income (dollars) 2/,Dollars,53721,54932,56119,57774
3738, 24019,1.0,Personal income (thousands of dollars),Thousands of dollars,1380239,1435475,1468067,1522973
3739, 24019,2.0,Population (persons) 1/,Number of persons,32276,32105,31960,31929
3740, 24019,3.0,Per capita personal income (dollars) 2/,Dollars,42764,44712,45935,47699
3741, 24021,1.0,Personal income (thousands of dollars),Thousands of dollars,14258864,14965451,15884689,16649205
3742, 24021,2.0,Population (persons) 1/,Number of persons,246999,250622,254943,259547
3743, 24021,3.0,Per capita personal income (dollars) 2/,Dollars,57728,59713,62307,64147
3744, 24023,1.0,Personal income (thousands of dollars),Thousands of dollars,1245361,1278904,1333397,1384972
3745, 24023,2.0,Population (persons) 1/,Number of persons,29358,29242,29133,29014
3746, 24023,3.0,Per capita personal income (dollars) 2/,Dollars,42420,43735,45769,47735
3747, 24025,1.0,Personal income (thousands of dollars),Thousands of dollars,13724807,14252463,14836852,15394347
3748, 24025,2.0,Population (persons) 1/,Number of persons,250370,251858,253882,255441
3749, 24025,3.0,Per capita personal income (dollars) 2/,Dollars,54818,56589,58440,60266
3750, 24027,1.0,Personal income (thousands of dollars),Thousands of dollars,23108247,24037219,24854527,25812013
3751, 24027,2.0,Population (persons) 1/,Number of persons,315416,319251,322621,325690
3752, 24027,3.0,Per capita personal income (dollars) 2/,Dollars,73263,75293,77039,79253
3753, 24029,1.0,Personal income (thousands of dollars),Thousands of dollars,1098033,1145231,1189400,1226328
3754, 24029,2.0,Population (persons) 1/,Number of persons,19666,19442,19434,19422
3755, 24029,3.0,Per capita personal income (dollars) 2/,Dollars,55834,58905,61202,63141
3756, 24031,1.0,Personal income (thousands of dollars),Thousands of dollars,87319432,90014129,91903198,94708400
3757, 24031,2.0,Population (persons) 1/,Number of persons,1038846,1046822,1048478,1050688
3758, 24031,3.0,Per capita personal income (dollars) 2/,Dollars,84054,85988,87654,90139
3759, 24033,1.0,Personal income (thousands of dollars),Thousands of dollars,41744817,43072142,44666539,46034388
3760, 24033,2.0,Population (persons) 1/,Number of persons,908501,909705,909619,909327
3761, 24033,3.0,Per capita personal income (dollars) 2/,Dollars,45949,47347,49105,50625
3762, 24035,1.0,Personal income (thousands of dollars),Thousands of dollars,2948304,3108514,3234659,3362069
3763, 24035,2.0,Population (persons) 1/,Number of persons,49063,49586,50148,50381
3764, 24035,3.0,Per capita personal income (dollars) 2/,Dollars,60092,62689,64502,66733
3765, 24037,1.0,Personal income (thousands of dollars),Thousands of dollars,5971637,6135724,6404219,6649699
3766, 24037,2.0,Population (persons) 1/,Number of persons,111750,112487,112720,113510
3767, 24037,3.0,Per capita personal income (dollars) 2/,Dollars,53437,54546,56815,58582
3768, 24039,1.0,Personal income (thousands of dollars),Thousands of dollars,776767,810894,806234,811205
3769, 24039,2.0,Population (persons) 1/,Number of persons,25839,25896,25606,25616
3770, 24039,3.0,Per capita personal income (dollars) 2/,Dollars,30062,31313,31486,31668
3771, 24041,1.0,Personal income (thousands of dollars),Thousands of dollars,2551290,2593176,2689873,2777842
3772, 24041,2.0,Population (persons) 1/,Number of persons,37135,37033,37074,37181
3773, 24041,3.0,Per capita personal income (dollars) 2/,Dollars,68703,70023,72554,74711
3774, 24043,1.0,Personal income (thousands of dollars),Thousands of dollars,6628397,6793887,7076388,7348531
3775, 24043,2.0,Population (persons) 1/,Number of persons,149602,150169,150656,151049
3776, 24043,3.0,Per capita personal income (dollars) 2/,Dollars,44307,45242,46971,48650
3777, 24045,1.0,Personal income (thousands of dollars),Thousands of dollars,4069672,4221628,4289313,4408237
3778, 24045,2.0,Population (persons) 1/,Number of persons,102041,102252,103044,103609
3779, 24045,3.0,Per capita personal income (dollars) 2/,Dollars,39883,41287,41626,42547
3780, 24047,1.0,Personal income (thousands of dollars),Thousands of dollars,2885135,3020776,3066934,3148166
3781, 24047,2.0,Population (persons) 1/,Number of persons,51475,51659,51960,52276
3782, 24047,3.0,Per capita personal income (dollars) 2/,Dollars,56049,58475,59025,60222
3783, 24510,1.0,Personal income (thousands of dollars),Thousands of dollars,29255324,29964542,31071939,31679263
3784, 24510,2.0,Population (persons) 1/,Number of persons,616226,610481,602443,593490
3785, 24510,3.0,Per capita personal income (dollars) 2/,Dollars,47475,49083,51577,53378
3786, 25000,1.0,Personal income (thousands of dollars),Thousands of dollars,448480490,469500738,494177305,511333665
3787, 25000,2.0,Population (persons) 1/,Number of persons,6823608,6859789,6882635,6892503
3788, 25000,3.0,Per capita personal income (dollars) 2/,Dollars,65725,68442,71801,74187
3789, 25001,1.0,Personal income (thousands of dollars),Thousands of dollars,14579039,15181333,15949290,16492955
3790, 25001,2.0,Population (persons) 1/,Number of persons,213559,213581,213471,212990
3791, 25001,3.0,Per capita personal income (dollars) 2/,Dollars,68267,71080,74714,77435
3792, 25003,1.0,Personal income (thousands of dollars),Thousands of dollars,6704798,6873118,7132374,7284151
3793, 25003,2.0,Population (persons) 1/,Number of persons,127067,126353,125901,124944
3794, 25003,3.0,Per capita personal income (dollars) 2/,Dollars,52766,54396,56651,58299
3795, 25005,1.0,Personal income (thousands of dollars),Thousands of dollars,27770111,29045780,30377835,31492833
3796, 25005,2.0,Population (persons) 1/,Number of persons,558070,560941,564092,565217
3797, 25005,3.0,Per capita personal income (dollars) 2/,Dollars,49761,51780,53853,55718
3798, 25007,1.0,Personal income (thousands of dollars),Thousands of dollars,1472052,1551092,1692326,1750465
3799, 25007,2.0,Population (persons) 1/,Number of persons,17315,17311,17329,17332
3800, 25007,3.0,Per capita personal income (dollars) 2/,Dollars,85016,89602,97659,100996
3801, 25009,1.0,Personal income (thousands of dollars),Thousands of dollars,48543280,50698535,53317797,55217691
3802, 25009,2.0,Population (persons) 1/,Number of persons,779847,784453,788183,789034
3803, 25009,3.0,Per capita personal income (dollars) 2/,Dollars,62247,64629,67646,69981
3804, 25011,1.0,Personal income (thousands of dollars),Thousands of dollars,3612341,3729416,3870676,3985726
3805, 25011,2.0,Population (persons) 1/,Number of persons,70622,70605,70611,70180
3806, 25011,3.0,Per capita personal income (dollars) 2/,Dollars,51150,52821,54817,56793
3807, 25013,1.0,Personal income (thousands of dollars),Thousands of dollars,22648521,23212582,24232557,24833290
3808, 25013,2.0,Population (persons) 1/,Number of persons,467778,467705,468388,466372
3809, 25013,3.0,Per capita personal income (dollars) 2/,Dollars,48417,49631,51736,53248
3810, 25015,1.0,Personal income (thousands of dollars),Thousands of dollars,8000013,8225319,8525830,8824292
3811, 25015,2.0,Population (persons) 1/,Number of persons,161404,161077,161139,160830
3812, 25015,3.0,Per capita personal income (dollars) 2/,Dollars,49565,51065,52910,54867
3813, 25017,1.0,Personal income (thousands of dollars),Thousands of dollars,122425428,128267998,135701603,140526823
3814, 25017,2.0,Population (persons) 1/,Number of persons,1594664,1603943,1608470,1611699
3815, 25017,3.0,Per capita personal income (dollars) 2/,Dollars,76772,79970,84367,87192
3816, 25019,1.0,Personal income (thousands of dollars),Thousands of dollars,1286504,1335764,1488055,1552588
3817, 25019,2.0,Population (persons) 1/,Number of persons,11100,11205,11198,11399
3818, 25019,3.0,Per capita personal income (dollars) 2/,Dollars,115901,119211,132886,136204
3819, 25021,1.0,Personal income (thousands of dollars),Thousands of dollars,58991325,61601959,64871581,67299593
3820, 25021,2.0,Population (persons) 1/,Number of persons,697079,700599,703230,706775
3821, 25021,3.0,Per capita personal income (dollars) 2/,Dollars,84626,87928,92248,95221
3822, 25023,1.0,Personal income (thousands of dollars),Thousands of dollars,31778805,33204609,34874163,36311773
3823, 25023,2.0,Population (persons) 1/,Number of persons,512207,515461,518422,521202
3824, 25023,3.0,Per capita personal income (dollars) 2/,Dollars,62043,64417,67270,69669
3825, 25025,1.0,Personal income (thousands of dollars),Thousands of dollars,57163903,61487761,65295615,67118023
3826, 25025,2.0,Population (persons) 1/,Number of persons,792576,800806,803147,803907
3827, 25025,3.0,Per capita personal income (dollars) 2/,Dollars,72124,76782,81300,83490
3828, 25027,1.0,Personal income (thousands of dollars),Thousands of dollars,43504370,45085472,46847603,48643462
3829, 25027,2.0,Population (persons) 1/,Number of persons,820320,825749,829054,830622
3830, 25027,3.0,Per capita personal income (dollars) 2/,Dollars,53033,54599,56507,58563
3831, 26000,1.0,Personal income (thousands of dollars),Thousands of dollars,444166778,458247082,477009644,491631812
3832, 26000,2.0,Population (persons) 1/,Number of persons,9950571,9973114,9984072,9986857
3833, 26000,3.0,Per capita personal income (dollars) 2/,Dollars,44637,45948,47777,49228
3834, 26001,1.0,Personal income (thousands of dollars),Thousands of dollars,362704,378652,400949,427116
3835, 26001,2.0,Population (persons) 1/,Number of persons,10360,10309,10360,10405
3836, 26001,3.0,Per capita personal income (dollars) 2/,Dollars,35010,36730,38702,41049
3837, 26003,1.0,Personal income (thousands of dollars),Thousands of dollars,285983,292176,304925,311797
3838, 26003,2.0,Population (persons) 1/,Number of persons,9129,9144,9118,9108
3839, 26003,3.0,Per capita personal income (dollars) 2/,Dollars,31327,31953,33442,34233
3840, 26005,1.0,Personal income (thousands of dollars),Thousands of dollars,4727041,4941714,5236004,5424323
3841, 26005,2.0,Population (persons) 1/,Number of persons,114979,116368,117173,118081
3842, 26005,3.0,Per capita personal income (dollars) 2/,Dollars,41112,42466,44686,45937
3843, 26007,1.0,Personal income (thousands of dollars),Thousands of dollars,1097562,1123725,1143252,1186856
3844, 26007,2.0,Population (persons) 1/,Number of persons,28663,28428,28384,28405
3845, 26007,3.0,Per capita personal income (dollars) 2/,Dollars,38292,39529,40278,41783
3846, 26009,1.0,Personal income (thousands of dollars),Thousands of dollars,996380,1036885,1078097,1116169
3847, 26009,2.0,Population (persons) 1/,Number of persons,23079,23270,23323,23324
3848, 26009,3.0,Per capita personal income (dollars) 2/,Dollars,43173,44559,46225,47855
3849, 26011,1.0,Personal income (thousands of dollars),Thousands of dollars,529862,541203,567009,580565
3850, 26011,2.0,Population (persons) 1/,Number of persons,15138,15014,15008,14883
3851, 26011,3.0,Per capita personal income (dollars) 2/,Dollars,35002,36047,37780,39009
3852, 26013,1.0,Personal income (thousands of dollars),Thousands of dollars,262542,265929,270093,279465
3853, 26013,2.0,Population (persons) 1/,Number of persons,8546,8441,8324,8209
3854, 26013,3.0,Per capita personal income (dollars) 2/,Dollars,30721,31504,32448,34044
3855, 26015,1.0,Personal income (thousands of dollars),Thousands of dollars,2498821,2591737,2719130,2819260
3856, 26015,2.0,Population (persons) 1/,Number of persons,59810,60682,61231,61550
3857, 26015,3.0,Per capita personal income (dollars) 2/,Dollars,41779,42710,44408,45804
3858, 26017,1.0,Personal income (thousands of dollars),Thousands of dollars,4110220,4175285,4393535,4502212
3859, 26017,2.0,Population (persons) 1/,Number of persons,104411,104045,103702,103126
3860, 26017,3.0,Per capita personal income (dollars) 2/,Dollars,39366,40130,42367,43657
3861, 26019,1.0,Personal income (thousands of dollars),Thousands of dollars,695593,727310,760085,786740
3862, 26019,2.0,Population (persons) 1/,Number of persons,17534,17624,17761,17766
3863, 26019,3.0,Per capita personal income (dollars) 2/,Dollars,39671,41268,42795,44283
3864, 26021,1.0,Personal income (thousands of dollars),Thousands of dollars,6797871,6993722,7299007,7399551
3865, 26021,2.0,Population (persons) 1/,Number of persons,154325,154128,153790,153401
3866, 26021,3.0,Per capita personal income (dollars) 2/,Dollars,44049,45376,47461,48237
3867, 26023,1.0,Personal income (thousands of dollars),Thousands of dollars,1465597,1527412,1587405,1618925
3868, 26023,2.0,Population (persons) 1/,Number of persons,43466,43375,43566,43517
3869, 26023,3.0,Per capita personal income (dollars) 2/,Dollars,33718,35214,36437,37202
3870, 26025,1.0,Personal income (thousands of dollars),Thousands of dollars,5065180,5153616,5249396,5400823
3871, 26025,2.0,Population (persons) 1/,Number of persons,134344,134180,134049,134159
3872, 26025,3.0,Per capita personal income (dollars) 2/,Dollars,37703,38408,39160,40257
3873, 26027,1.0,Personal income (thousands of dollars),Thousands of dollars,2114408,2210197,2310789,2351575
3874, 26027,2.0,Population (persons) 1/,Number of persons,51282,51481,51725,51787
3875, 26027,3.0,Per capita personal income (dollars) 2/,Dollars,41231,42932,44675,45409
3876, 26029,1.0,Personal income (thousands of dollars),Thousands of dollars,1242649,1294813,1369169,1389142
3877, 26029,2.0,Population (persons) 1/,Number of persons,26190,26212,26187,26143
3878, 26029,3.0,Per capita personal income (dollars) 2/,Dollars,47447,49398,52284,53136
3879, 26031,1.0,Personal income (thousands of dollars),Thousands of dollars,929962,961579,990515,1021272
3880, 26031,2.0,Population (persons) 1/,Number of persons,25455,25454,25504,25276
3881, 26031,3.0,Per capita personal income (dollars) 2/,Dollars,36534,37777,38838,40405
3882, 26033,1.0,Personal income (thousands of dollars),Thousands of dollars,1194297,1222154,1263683,1308476
3883, 26033,2.0,Population (persons) 1/,Number of persons,37683,37679,37461,37349
3884, 26033,3.0,Per capita personal income (dollars) 2/,Dollars,31693,32436,33733,35034
3885, 26035,1.0,Personal income (thousands of dollars),Thousands of dollars,976800,1005650,1040265,1072017
3886, 26035,2.0,Population (persons) 1/,Number of persons,30387,30565,30735,30950
3887, 26035,3.0,Per capita personal income (dollars) 2/,Dollars,32145,32902,33846,34637
3888, 26037,1.0,Personal income (thousands of dollars),Thousands of dollars,3329608,3468770,3628001,3773677
3889, 26037,2.0,Population (persons) 1/,Number of persons,77617,78506,79219,79595
3890, 26037,3.0,Per capita personal income (dollars) 2/,Dollars,42898,44185,45797,47411
3891, 26039,1.0,Personal income (thousands of dollars),Thousands of dollars,436356,449674,476804,496724
3892, 26039,2.0,Population (persons) 1/,Number of persons,13768,13906,13905,14029
3893, 26039,3.0,Per capita personal income (dollars) 2/,Dollars,31693,32337,34290,35407
3894, 26041,1.0,Personal income (thousands of dollars),Thousands of dollars,1351637,1375066,1422242,1474667
3895, 26041,2.0,Population (persons) 1/,Number of persons,36196,35890,35843,35784
3896, 26041,3.0,Per capita personal income (dollars) 2/,Dollars,37342,38313,39680,41210
3897, 26043,1.0,Personal income (thousands of dollars),Thousands of dollars,1122535,1176396,1230994,1241240
3898, 26043,2.0,Population (persons) 1/,Number of persons,25499,25424,25371,25239
3899, 26043,3.0,Per capita personal income (dollars) 2/,Dollars,44023,46271,48520,49179
3900, 26045,1.0,Personal income (thousands of dollars),Thousands of dollars,4306158,4450357,4617596,4781770
3901, 26045,2.0,Population (persons) 1/,Number of persons,109183,109456,109710,110268
3902, 26045,3.0,Per capita personal income (dollars) 2/,Dollars,39440,40659,42089,43365
3903, 26047,1.0,Personal income (thousands of dollars),Thousands of dollars,1721831,1785043,1868655,1955718
3904, 26047,2.0,Population (persons) 1/,Number of persons,32875,33081,33225,33415
3905, 26047,3.0,Per capita personal income (dollars) 2/,Dollars,52375,53960,56242,58528
3906, 26049,1.0,Personal income (thousands of dollars),Thousands of dollars,15627147,15972759,16518658,17015416
3907, 26049,2.0,Population (persons) 1/,Number of persons,408926,407488,406688,405813
3908, 26049,3.0,Per capita personal income (dollars) 2/,Dollars,38215,39198,40618,41929
3909, 26051,1.0,Personal income (thousands of dollars),Thousands of dollars,848743,894331,924868,954653
3910, 26051,2.0,Population (persons) 1/,Number of persons,25154,25241,25326,25449
3911, 26051,3.0,Per capita personal income (dollars) 2/,Dollars,33742,35432,36519,37512
3912, 26053,1.0,Personal income (thousands of dollars),Thousands of dollars,578113,570716,601470,616477
3913, 26053,2.0,Population (persons) 1/,Number of persons,15340,15340,15116,13975
3914, 26053,3.0,Per capita personal income (dollars) 2/,Dollars,37687,37204,39790,44113
3915, 26055,1.0,Personal income (thousands of dollars),Thousands of dollars,4215098,4413729,4625254,4805113
3916, 26055,2.0,Population (persons) 1/,Number of persons,91957,91791,92530,93088
3917, 26055,3.0,Per capita personal income (dollars) 2/,Dollars,45838,48085,49987,51619
3918, 26057,1.0,Personal income (thousands of dollars),Thousands of dollars,1422499,1460143,1494787,1558189
3919, 26057,2.0,Population (persons) 1/,Number of persons,40955,40979,40602,40711
3920, 26057,3.0,Per capita personal income (dollars) 2/,Dollars,34733,35631,36816,38274
3921, 26059,1.0,Personal income (thousands of dollars),Thousands of dollars,1509000,1559846,1609682,1643278
3922, 26059,2.0,Population (persons) 1/,Number of persons,45773,45820,45702,45605
3923, 26059,3.0,Per capita personal income (dollars) 2/,Dollars,32967,34043,35221,36033
3924, 26061,1.0,Personal income (thousands of dollars),Thousands of dollars,1268251,1288421,1348554,1396116
3925, 26061,2.0,Population (persons) 1/,Number of persons,36299,36198,35943,35684
3926, 26061,3.0,Per capita personal income (dollars) 2/,Dollars,34939,35594,37519,39124
3927, 26063,1.0,Personal income (thousands of dollars),Thousands of dollars,1365814,1383460,1420242,1484257
3928, 26063,2.0,Population (persons) 1/,Number of persons,31486,31306,31211,30981
3929, 26063,3.0,Per capita personal income (dollars) 2/,Dollars,43378,44192,45505,47909
3930, 26065,1.0,Personal income (thousands of dollars),Thousands of dollars,10916372,11280800,11696408,12072282
3931, 26065,2.0,Population (persons) 1/,Number of persons,289804,292018,291612,292406
3932, 26065,3.0,Per capita personal income (dollars) 2/,Dollars,37668,38630,40109,41286
3933, 26067,1.0,Personal income (thousands of dollars),Thousands of dollars,2036704,2119357,2233648,2297903
3934, 26067,2.0,Population (persons) 1/,Number of persons,64187,64284,64276,64697
3935, 26067,3.0,Per capita personal income (dollars) 2/,Dollars,31731,32969,34751,35518
3936, 26069,1.0,Personal income (thousands of dollars),Thousands of dollars,875663,903216,939568,1000848
3937, 26069,2.0,Population (persons) 1/,Number of persons,25284,25128,25103,25127
3938, 26069,3.0,Per capita personal income (dollars) 2/,Dollars,34633,35945,37429,39832
3939, 26071,1.0,Personal income (thousands of dollars),Thousands of dollars,462593,474549,488226,503089
3940, 26071,2.0,Population (persons) 1/,Number of persons,11167,11105,11104,11066
3941, 26071,3.0,Per capita personal income (dollars) 2/,Dollars,41425,42733,43968,45463
3942, 26073,1.0,Personal income (thousands of dollars),Thousands of dollars,2331755,2376289,2447875,2540248
3943, 26073,2.0,Population (persons) 1/,Number of persons,71263,71077,70463,69872
3944, 26073,3.0,Per capita personal income (dollars) 2/,Dollars,32720,33433,34740,36356
3945, 26075,1.0,Personal income (thousands of dollars),Thousands of dollars,5873902,5997070,6211490,6401733
3946, 26075,2.0,Population (persons) 1/,Number of persons,158277,158563,158566,158510
3947, 26075,3.0,Per capita personal income (dollars) 2/,Dollars,37112,37821,39173,40387
3948, 26077,1.0,Personal income (thousands of dollars),Thousands of dollars,11792105,12195991,12778555,13118941
3949, 26077,2.0,Population (persons) 1/,Number of persons,261304,262998,264680,265066
3950, 26077,3.0,Per capita personal income (dollars) 2/,Dollars,45128,46373,48279,49493
3951, 26079,1.0,Personal income (thousands of dollars),Thousands of dollars,564894,584618,614306,638315
3952, 26079,2.0,Population (persons) 1/,Number of persons,17263,17571,17806,18038
3953, 26079,3.0,Per capita personal income (dollars) 2/,Dollars,32723,33272,34500,35387
3954, 26081,1.0,Personal income (thousands of dollars),Thousands of dollars,32438087,32917038,34179003,35255155
3955, 26081,2.0,Population (persons) 1/,Number of persons,643858,649278,653350,656955
3956, 26081,3.0,Per capita personal income (dollars) 2/,Dollars,50381,50698,52313,53664
3957, 26083,1.0,Personal income (thousands of dollars),Thousands of dollars,91843,94229,98223,101490
3958, 26083,2.0,Population (persons) 1/,Number of persons,2139,2085,2090,2116
3959, 26083,3.0,Per capita personal income (dollars) 2/,Dollars,42937,45194,46997,47963
3960, 26085,1.0,Personal income (thousands of dollars),Thousands of dollars,347747,359540,379142,395507
3961, 26085,2.0,Population (persons) 1/,Number of persons,11853,11981,11876,11853
3962, 26085,3.0,Per capita personal income (dollars) 2/,Dollars,29338,30009,31925,33368
3963, 26087,1.0,Personal income (thousands of dollars),Thousands of dollars,3487494,3667606,3806317,3916519
3964, 26087,2.0,Population (persons) 1/,Number of persons,88171,88122,87921,87607
3965, 26087,3.0,Per capita personal income (dollars) 2/,Dollars,39554,41620,43292,44706
3966, 26089,1.0,Personal income (thousands of dollars),Thousands of dollars,1323918,1356280,1438762,1485866
3967, 26089,2.0,Population (persons) 1/,Number of persons,21507,21645,21714,21761
3968, 26089,3.0,Per capita personal income (dollars) 2/,Dollars,61558,62660,66260,68281
3969, 26091,1.0,Personal income (thousands of dollars),Thousands of dollars,3612636,3717919,3879387,4029757
3970, 26091,2.0,Population (persons) 1/,Number of persons,98496,98427,98141,98451
3971, 26091,3.0,Per capita personal income (dollars) 2/,Dollars,36678,37773,39529,40932
3972, 26093,1.0,Personal income (thousands of dollars),Thousands of dollars,10113858,10545480,10932196,11304537
3973, 26093,2.0,Population (persons) 1/,Number of persons,188547,189869,191190,191995
3974, 26093,3.0,Per capita personal income (dollars) 2/,Dollars,53641,55541,57180,58879
3975, 26095,1.0,Personal income (thousands of dollars),Thousands of dollars,186046,190846,196533,200412
3976, 26095,2.0,Population (persons) 1/,Number of persons,6335,6370,6327,6229
3977, 26095,3.0,Per capita personal income (dollars) 2/,Dollars,29368,29960,31063,32174
3978, 26097,1.0,Personal income (thousands of dollars),Thousands of dollars,440036,450302,468047,487440
3979, 26097,2.0,Population (persons) 1/,Number of persons,10724,10768,10781,10799
3980, 26097,3.0,Per capita personal income (dollars) 2/,Dollars,41033,41819,43414,45138
3981, 26099,1.0,Personal income (thousands of dollars),Thousands of dollars,37526147,38722444,40217335,41502443
3982, 26099,2.0,Population (persons) 1/,Number of persons,868534,871364,872795,873972
3983, 26099,3.0,Per capita personal income (dollars) 2/,Dollars,43206,44439,46079,47487
3984, 26101,1.0,Personal income (thousands of dollars),Thousands of dollars,875222,893535,932982,967313
3985, 26101,2.0,Population (persons) 1/,Number of persons,24424,24393,24455,24558
3986, 26101,3.0,Per capita personal income (dollars) 2/,Dollars,35835,36631,38151,39389
3987, 26103,1.0,Personal income (thousands of dollars),Thousands of dollars,2490682,2537803,2634202,2719465
3988, 26103,2.0,Population (persons) 1/,Number of persons,66532,66493,66381,66699
3989, 26103,3.0,Per capita personal income (dollars) 2/,Dollars,37436,38166,39683,40772
3990, 26105,1.0,Personal income (thousands of dollars),Thousands of dollars,1092756,1133049,1172304,1209124
3991, 26105,2.0,Population (persons) 1/,Number of persons,28810,28996,29084,29144
3992, 26105,3.0,Per capita personal income (dollars) 2/,Dollars,37930,39076,40308,41488
3993, 26107,1.0,Personal income (thousands of dollars),Thousands of dollars,1339307,1403458,1442796,1481309
3994, 26107,2.0,Population (persons) 1/,Number of persons,43141,43258,43400,43453
3995, 26107,3.0,Per capita personal income (dollars) 2/,Dollars,31045,32444,33244,34090
3996, 26109,1.0,Personal income (thousands of dollars),Thousands of dollars,909782,944609,979368,1004914
3997, 26109,2.0,Population (persons) 1/,Number of persons,23208,22981,22927,22780
3998, 26109,3.0,Per capita personal income (dollars) 2/,Dollars,39201,41104,42717,44114
3999, 26111,1.0,Personal income (thousands of dollars),Thousands of dollars,3895971,4794515,4524934,4654376
4000, 26111,2.0,Population (persons) 1/,Number of persons,83422,83314,83223,83156
4001, 26111,3.0,Per capita personal income (dollars) 2/,Dollars,46702,57548,54371,55972
4002, 26113,1.0,Personal income (thousands of dollars),Thousands of dollars,480217,511936,521971,558183
4003, 26113,2.0,Population (persons) 1/,Number of persons,15018,15020,15101,15118
4004, 26113,3.0,Per capita personal income (dollars) 2/,Dollars,31976,34084,34565,36922
4005, 26115,1.0,Personal income (thousands of dollars),Thousands of dollars,6487185,6762911,7040382,7311437
4006, 26115,2.0,Population (persons) 1/,Number of persons,149159,149449,150174,150500
4007, 26115,3.0,Per capita personal income (dollars) 2/,Dollars,43492,45252,46881,48581
4008, 26117,1.0,Personal income (thousands of dollars),Thousands of dollars,2021420,2110233,2190494,2270415
4009, 26117,2.0,Population (persons) 1/,Number of persons,62953,63527,63936,63888
4010, 26117,3.0,Per capita personal income (dollars) 2/,Dollars,32110,33218,34261,35537
4011, 26119,1.0,Personal income (thousands of dollars),Thousands of dollars,323380,326650,340824,355204
4012, 26119,2.0,Population (persons) 1/,Number of persons,9203,9233,9275,9328
4013, 26119,3.0,Per capita personal income (dollars) 2/,Dollars,35139,35379,36747,38079
4014, 26121,1.0,Personal income (thousands of dollars),Thousands of dollars,6240268,6419878,6646850,6879677
4015, 26121,2.0,Population (persons) 1/,Number of persons,173227,173645,173599,173566
4016, 26121,3.0,Per capita personal income (dollars) 2/,Dollars,36024,36971,38289,39637
4017, 26123,1.0,Personal income (thousands of dollars),Thousands of dollars,1711412,1773234,1804800,1882237
4018, 26123,2.0,Population (persons) 1/,Number of persons,47811,48320,48839,48980
4019, 26123,3.0,Per capita personal income (dollars) 2/,Dollars,35795,36698,36954,38429
4020, 26125,1.0,Personal income (thousands of dollars),Thousands of dollars,82949297,86345403,89660752,92144604
